name,ingredients,measurements
Michelada,"['beer', 'tomato juice', 'lime juice', 'hot sauce', 'worcestershire sauce', 'soy sauce']","['4 oz', '4 oz', '1 tblsp', 'Dash', 'Dash', 'Dash']"
Manhattan,"['sweet vermouth', 'bourbon', 'angostura bitters', 'ice', 'maraschino cherry', 'orange peel']","['3/4 oz', '2 1/2 oz Blended', 'dash', '2 or 3', '1', '1 twist of']"
Mauresque,"['ricard', 'orgeat syrup', 'water']","['3 cl', '1 cl', 'Full Glass']"
Martinez 2,"['gin', 'sweet vermouth', 'maraschino liqueur', 'angostura bitters']","['1 1/2 oz', '1 1/2 oz', '1 tsp', '2 dashes']"
Miami Vice,"['151 proof rum', 'pina colada mix', 'daiquiri mix']","['5 oz Bacardi', 'frozen', 'frozen']"
Munich Mule,"['gin', 'lime juice', 'ginger beer', 'cucumber', 'lemon']","['5 cl', '2 cl', '10 cl', 'Chopped', 'Chopped']"
Mango Mojito,"['lime', 'mango', 'mint', 'white rum', 'ice', 'soda water', 'mango']","['3', '1 Fresh', 'Sprig', '200 ml', 'cubes', 'Top', 'Garnish with']"
Mojito Extra,"['mint', 'lemon juice', 'dark rum', 'club soda', 'angostura bitters']","['1/2 handful', '3 cl', '1/8 L Jamaican', '1/8 L', '8 drops']"
Midnight Mint,"['baileys irish cream', 'white creme de menthe', 'cream']","['1 oz', '3/4 oz', '3/4 oz double']"
Mary Pickford,"['light rum', 'pineapple juice', 'maraschino liqueur', 'grenadine', 'maraschino cherry']","['1 1/2 oz', '1 oz', '1/2 tsp', '1/2 tsp', '1']"
New York Lemonade,"['absolut citron', 'grand marnier', 'lemon juice', 'club soda']","['2 oz', '1 oz', '2 oz sweetened', '1 oz']"
Old Pal,"['rye whiskey', 'campari', 'dry vermouth']","['2 oz', '1 oz', '1 oz']"
Old Cuban,"['white rum', 'sugar syrup', 'lime juice', 'angostura bitters', 'prosecco']","['2 oz', '1 oz', '1 oz', '2 dashes', '2 oz']"
Old Fashioned,"['bourbon', 'angostura bitters', 'sugar', 'water']","['4.5 cL', '2 dashes', '1 cube', 'dash']"
Oatmeal Cookie,"['kahlua', 'baileys irish cream', 'butterscotch schnapps', 'jagermeister', 'goldschlager']","['2 parts', '2 parts', '4 parts', '1 part', '1/2 part']"
Orange Rosemary Collins,"['gin', 'orange juice', 'lemon juice', 'rosemary syrup', 'soda water', 'rosemary', 'orange peel']","['1 shot', 'Top', 'Top', '25 ml', 'Top', 'Garnish with', 'Garnish with']"
Paloma,"['grape soda', 'tequila']","['3 oz', '1 1/2 oz']"
Pegu Club,"['gin', 'orange curacao', 'lime juice', 'angostura bitters', 'orange bitters']","['1 1/2 oz', '3/4 oz', '3/4 oz', '1 dash', '1 dash']"
Pink Moon,"['gin', 'coconut liqueur', 'elderflower cordial', 'lime juice', 'blackberries']","['1 shot', '1 shot', '25 ml', '30 ml', 'Garnish with']"
Penicillin,"['blended scotch', 'lemon juice', 'honey syrup', 'ginger syrup', 'islay single malt scotch']","['2 oz', '3/4 oz', '2 tsp', '2 tsp', '1/4 oz']"
Pisco Sour,"['pisco', 'lemon juice', 'sugar', 'ice', 'egg white']","['2 oz', '1 oz', '1-2 tblsp', '1', '']"
Pure Passion,"['rum', 'passoa', 'lime juice', 'passion fruit syrup', 'peach bitters', 'mint']","['40 ml', '20 ml', '30 ml', '15 ml', 'Dash', 'Garnish with']"
Pineapple Paloma,"['tequila', 'grapefruit juice', 'fresh lime juice', 'pineapple juice', 'lime', 'pepper']","['4 oz', '4 oz', '1 oz', '8 oz', 'Garnish with', 'Rimmed']"
Pornstar Martini,"['vodka', 'passoa', 'passion fruit juice', 'lime', 'prosecco']","['3 cl', '3 cl', '1 cl', '1 cl', '1 shot']"
Planter’s Punch,"['dark rum', 'orange juice', 'pineapple juice', 'grenadine', 'sugar syrup', 'angostura bitters']","['4.5 cL', '3 cl', '3.5 cl', '1 cl', '1 cl', '4 drops']"
Passion Fruit Martini,"['vodka', 'sugar syrup', 'passion fruit juice']","['1 shot', '1/2 shot', 'Full Glass']"
Ruby Tuesday,"['gin', 'cranberry juice', 'grenadine']","['2 oz', '5 oz', '2 splashes']"
Rosemary Blue,"['gin', 'blue curacao', 'tonic water', 'rosemary']","['50 ml', '15 ml', '100 ml', 'Garnish with']"
Ramos Gin Fizz,"['gin', 'lemon juice', 'sugar syrup', 'cream', 'egg white', 'vanilla extract', 'soda water']","['4.5 cL', '3 cl', '3 cl', '6 cl', '1', '2 drop', '2 cl']"
Raspberry Julep,"['bourbon', 'raspberry syrup', 'mint']","['2 oz', '1/2 oz', '8']"
Snowday,"['vodka', 'amaro montenegro', 'ruby port', 'blood orange', 'angostura bitters', 'orange peel']","['1 oz', '1 oz', '1 oz', '1 tsp', 'Dash', 'Garnish with']"
Spice 75,"['sugar', 'allspice', 'rum', 'lime juice', 'champagne', 'orange spiral']","['60 ml', '1 tblsp', '20 cl', '90 ml', '6 cl', 'Garnish with']"
Shark Attack,"['lemonade', 'water', 'vodka']","['1 can', '3 cans', '1 1/2 cup']"
The Galah,"['dark rum', 'campari', 'creme de banane', 'pineapple juice', 'lime juice']","['1 shot', '1 shot', '1/2 shot', 'Top', 'Top']"
Tipperary,"['irish whiskey', 'sweet vermouth', 'green chartreuse']","['2 oz', '1 oz', '1/2 oz']"
The Last Word,"['green chartreuse', 'maraschino liqueur', 'lime juice', 'gin']","['1 oz', '1 oz', '1 oz', '1 oz']"
The Laverstoke,"['gin', 'elderflower cordial', 'rosso vermouth', 'tonic water', 'lime', 'ginger', 'mint']","['50 ml', '15 ml', '15 ml', '75 ml', '2 Wedges', '1 Slice', '1 Large Sprig']"
Tequila Sunrise,"['tequila', 'orange juice', 'grenadine']","['2 measures', '', '']"
The Philosopher,"['gin', 'melon liqueur', 'orange bitters', 'lemon juice', 'prosecco']","['1 shot', '1 shot', '1 dash', '1 dash', 'Top']"
